review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
48,6,8,1,No tan bueno,Cumple con lo prometido.,true,15,2024-08-12
49,5,6,4,Excelente producto,El producto es correcto pero la entrega tardó.,true,15,2024-02-14
50,14,26,3,Satisfecho,Llegó a tiempo y en perfecto estado.,true,47,2024-11-17
51,4,23,1,Excelente producto,Llegó a tiempo y en perfecto estado.,true,30,2025-11-11
52,7,25,2,Excelente producto,Llegó a tiempo y en perfecto estado.,false,49,2025-07-16
53,15,27,1,Cumple expectativas,Muy buena calidad por el precio.,false,22,2024-02-22
54,1,11,4,Podría mejorar,Bueno pero esperaba un poco más.,false,2,2023-10-23
55,9,27,1,Podría mejorar,Cumple con lo prometido.,true,23,2023-04-04
56,1,23,4,No tan bueno,Bueno pero esperaba un poco más.,true,21,2024-03-10
57,15,8,2,No tan bueno,Bueno pero esperaba un poco más.,false,4,2023-08-04
58,11,18,5,Excelente producto,Bueno pero esperaba un poco más.,true,28,2023-08-13
59,16,24,5,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,34,2024-03-30
60,7,34,3,Buena calidad,Cumple con lo prometido.,true,5,2023-06-02
61,18,25,4,Muy bueno,Cumple con lo prometido.,true,0,2025-07-11
62,20,23,2,No tan bueno,Bueno pero esperaba un poco más.,true,34,2023-12-11
63,9,4,4,Satisfecho,Llegó a tiempo y en perfecto estado.,true,49,2025-12-03
64,15,17,3,Cumple expectativas,Excelente relación calidad-precio.,true,18,2025-06-29
65,15,29,2,Satisfecho,Bueno pero esperaba un poco más.,false,35,2025-12-29
66,7,8,3,No tan bueno,Llegó a tiempo y en perfecto estado.,true,2,2023-06-30
67,14,8,1,Cumple expectativas,No cumplió mis expectativas.,true,34,2023-01-21
68,17,18,5,No tan bueno,Bueno pero esperaba un poco más.,false,10,2025-01-26
69,14,14,1,Buena calidad,No cumplió mis expectativas.,true,27,2024-02-22
70,18,7,4,Satisfecho,Llegó a tiempo y en perfecto estado.,false,20,2023-12-18
71,1,29,2,Muy bueno,Llegó a tiempo y en perfecto estado.,true,35,2024-02-25
72,15,27,1,No tan bueno,Cumple con lo prometido.,true,11,2023-08-27
73,11,7,1,Excelente producto,Llegó a tiempo y en perfecto estado.,true,31,2023-08-25
74,1,33,4,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,18,2025-05-30
75,6,11,3,Recomendado,Llegó a tiempo y en perfecto estado.,true,49,2025-09-06
76,14,18,4,Cumple expectativas,Excelente relación calidad-precio.,true,21,2024-04-13
77,5,12,2,Excelente producto,No cumplió mis expectativas.,true,49,2023-09-12
78,14,10,4,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,10,2024-02-27
79,15,6,4,Recomendado,El producto es correcto pero la entrega tardó.,false,42,2023-03-24
80,14,20,5,Recomendado,El producto es correcto pero la entrega tardó.,false,2,2024-08-19
81,2,8,3,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,31,2025-10-07
82,8,11,3,Podría mejorar,Excelente relación calidad-precio.,false,26,2025-12-26
83,19,26,5,Podría mejorar,No cumplió mis expectativas.,true,46,2024-03-12
84,9,20,4,Satisfecho,Bueno pero esperaba un poco más.,true,35,2023-03-19
85,12,31,5,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,14,2023-05-23
86,6,25,3,Buena calidad,No cumplió mis expectativas.,true,47,2024-12-29
87,10,14,5,Buena calidad,Muy buena calidad por el precio.,true,30,2023-01-31
88,1,14,3,No tan bueno,El producto es correcto pero la entrega tardó.,true,38,2023-11-25
89,18,5,4,No tan bueno,Bueno pero esperaba un poco más.,false,25,2025-12-24
90,18,24,2,Buena calidad,El producto es correcto pero la entrega tardó.,true,10,2025-04-08
91,19,14,5,Muy bueno,Excelente relación calidad-precio.,true,50,2025-06-25
92,7,22,3,Buena calidad,No cumplió mis expectativas.,true,9,2024-09-22
93,18,8,2,Muy bueno,El producto es correcto pero la entrega tardó.,true,29,2023-10-01
94,20,18,3,Buena calidad,Cumple con lo prometido.,true,33,2025-09-25
95,15,27,3,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,49,2024-10-31
96,19,16,1,Recomendado,Bueno pero esperaba un poco más.,true,41,2023-12-13
97,11,31,3,Muy bueno,No cumplió mis expectativas.,false,22,2024-08-03
98,20,3,3,Muy bueno,Llegó a tiempo y en perfecto estado.,false,30,2023-02-27
99,2,16,4,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,8,2024-07-06
100,11,9,4,Muy bueno,Cumple con lo prometido.,false,25,2025-06-19
